siculian;Siculian;Sicule;Sikulisch;Sykulska;Sícula;Sicula;Siculian;Siculski;Siculian;Siculisch;Sícula;Ñèêóëüñêàÿ;Siculian;x
sidonian;Sidonian;Sidonienne;Sidonisch;Sidonijska;Sidoniana;Sidonia;Sidonian;Sidonian;Sidonian;Sidonian;Sidoniana;Ñèäîíñêàÿ;Sidonian;x
silfrvazling;Silfrvazling;Silfrevazlingue;Silfrvazling;Silfrwazlingska;Silfrvazling;Silfrvaslinga;Silfrvazling;Silfrvazling;Silfrvazling;Silfrvazling;Silfavaslinga;Ñèëôğâàçëèíãñêàÿ;Silfrvazling;x
siouan;Siouan;Siouane;Sioux;Siouañska;Siux;Sioux;Siouan;Siouan;Siouan;Siouan;Sioux;Ñèóàíñêàÿ;Siouan;x
smelis;Smèlis;Smelisse;Smèlis;Smélis;Esmèlis;Smèlis;Smèlis;Smèlis;Smèlis;Smèlis;Smèlis;Ñìıëèñ;Smèlis;x
smugly;Smugly;Smouglie;Smugly;Smugly;Esmuglí;Smugly;Smugly;Smrdì;Smugly;Smugly;Smugly;Ñìóãëè;Smugly;x
sonoran;Sonoran;Sonoraise;Sonoranisch;Sonorañska;Sonorana;Sonorano;Sonora;Sonoran;Sonora;Sonoran;Sonorana;Ñîíîğàíñêàÿ;Sonoran;x
sorbian;Sorbian;Sorabe;Sorbisch;£u¿ycka;Soraba;Soraba;Szorb;Luzickosrbsky;Szorb;Sorbisch;Sorábia;Ëóæèöêàÿ;Sorbialainen;X
spaniolic;Spaniolic;Espaniolique;Spaniolisch;Spaniolikska;Espaniolica;Spagnolica;Spaniolic;Spaniolic;Spaniolic;Spanjaard;Spaniolica;Ñïàíèîëñêàÿ;Spaniolinen;x
sudic;Sudic;Soudique;Sudikisch;Sudikska;Sudica;Sudic;Sudic;Sudicki;Sudic;Sudic;Sudica;Ñóäèêñêàÿ;Sudic;x
sudreicher;Südreicher;Sudraïcheuse;Südreichisch;Sydrajcherska;Sudráyjera;Südreicher;Südreicher;Südreicher;Südreicher;Südreicher;Sulráiquera;Ñşäğåéõåğñêàÿ;Südreicher;x
suebi;Suebi;Suève;Suebisch;Swebijska;Sueva;Svevo;Szvébek;Suebi;Szvébek;Suebi;Sueva;Ñâåâñêàÿ;Sveba;x
sureno;Sureño;Sourégno;Surenjo;Surenjo;Sureña;Suregno;Sureño;Sureño;Sureño;Sureño;Surenha;Ñóğåíüî;Sureño;x
surinamian;Surinamese;Surinamienne;Surinamisch;Surinamska;Surinamesa;Surinamese;Surinamesei;Surinamština;Surinamesei;Surinaams;Surinamense;Ñóğèíàìñêàÿ;Surinamilainen;x
suurjokian;Suurjokian;Sourioquienne;Suurjokisch;Suurjokska;Suryoquia;Surgiochiana;Suurjokian;Suurjokian;Suurjokian;Suurjokian;Surioquia;Ñóğüîêÿíñêàÿ;Suurjokian;x
svart;Svart;Svart;Svart;Svart;Svart;Svart;Svart;Svart;Svart;Svart;Svart;Ñâàğò;Svart;x
sydlig;Sydlig;Sydlig;Sydlig;Sydlig;Sydlig;Sydlig;Sydlig;Sydlig;Sydlig;Sydlig;Sydlig;Ñşäëèã;Sydlig;x
symacom;Symacom;Symacom;Symacom;Symacom;Symacom;Symacom;Symacom;Symacom;Symacom;Symacom;Symacom;Ñèìàêîì;Symacom;x
sythchy;Sythchy;Sythchy;Sythchy;Sythchy;Sythchy;Sythchy;Sythchy;Sythchy;Sythchy;Sythchy;Sythchy;Ñèòêè;Sythchy;x
szekely;Székely;Sicule;Szeklerisch;Seklerska;Sícula;Sicula;Székely;Székely;Székely;Székely;Sícula;Ñåêëåğñêàÿ;Székely;x
taliaite;Taliaite;Taliaïte;Taliaitisch;Taliaitska;Taliaita;Taliaita;Taliaite;Taliaite;Taliaite;Taliaite;Taliaita;Òàëüÿèéñêàÿ;Taliaite;x
thegioimoi;Thegioimoi;Thégioimoi;Thegioimoi;Thegioimoi;Thegioimoi;Thegioimoi;Thegioimoi;Thegioimoi;Thegioimoi;Thegioimoi;Thegioimoi;Òõåãüîéìîé;Thegioimoi;x
thracian;Thracian;Thrace;Thrakisch;Tracka;Tracia;Tracia;Thracian;Thrácké;Thracian;Thracisch;Trácia;Ôğàêèéñêàÿ;Trakialainen;x
thracian_african;Dinupulian;Dinoupoulienne;Dinupulisch;Dinupuliañska;Dinupuliana;Dinupuliana;Dinupulian;Dinupulian;Dinupulian;Dinupulian;Dinupuliana;Äèíóïóëüñêàÿ;Dinupulian;x
thracian_american;Midneic;Midnéique;Midneisch;Midnejska;Midneica;Midneica;Midneic;Midneic;Midneic;Midneic;Midneica;Ìèäíåéñêàÿ;Midneic;x
thracian_australian;Scalmenian;Scalménienne;Skalmenisch;Skalmeniañska;Scalmenia;Scalmeniana;Skalmen;Scalmenian;Skalmen;Scalmenian;Escalmeniana;Ñêàëüìåíèéñêàÿ;Scalmenian;x
thulean;Thulean;Thuléenne;Thulisch;Thulejska;Tulesa;Tuleese;Thulean;Thulean;Thulean;Thulean;Tuleana;Ôóëàéñêàÿ;Thulean;x
tocharian;Tocharian;Tokharienne;Tocharisch;Tocharska;Tocaria;Tocaria;Tocharian;Tocharian;Tocharian;Tochaars;Tocariana;Òîõàğñêàÿ;Tokarilainen;x
tounensois;Tounensois;Tounensoise;Tounensois;Tun¹suañska;Tunensesa;Tounensese;Tounensois;Tounensois;Tounensois;Tounensois;Tunansesa;Òóíåíñâàñêàÿ;Tounensois;x
trattoloyan;Trattoloyan;Trattoloïenne;Trattoloisch;Trattolojska;Trattoloya;Trattoloiana;Trattoloyan;Trattoloyan;Trattoloyan;Trattoloyan;Trattoloiana;Òğàòòîëîéñêàÿ;Trattoloyan;x
tupi;Tupi;Tupi;Tupi;Tupi;Tupi;Tupi;Tupi;Tupi;Tupi;Tupi;Tupi;Òóïè;Tupi;x
tyrrhafrican;Tyrrh-African;Tyrrhafricaine;Tyrrhafrikanisch;Tyrafrykañska;Tirrafricana;Tirrafricana;Tyrrh-afrikai;Tyrh-africki;Tyrrh-afrikai;Tyrrh-Afrikaan;Tirrafricana;Òèğğàôğèêàíñêàÿ;Tyrrh-afrikkalainen;x
tyrrhaustralian;Tyrrh-Australian;Tyrrhaustralienne;Tyrrhaustralisch;Tyraustraljska;Tirraustraliana;Tirraustraliana;Tyrrh-ausztrál;Tyrrh-australskı;Tyrrh-ausztrál;Tyrrh-Australiër;Tirraustraliana;Òèğğàâñòğàëèéñêàÿ;Tyrrh-australialainen;x
tyrrhenian;Tyrrhenian;Tyrrhénien;Tyrrhenisch;Tyrreñska;Tirreno;Tirrena;Tirrén;Tyrhénski;Tirrén;Tyrreense;Tirreno;Òèğğåíñêàÿ;Tyrrhenan;x
ualonuth;Ualonuth;Ualonuth;Ualonuth;Ualonuth;Ualonuth;Ualonuth;Ualonuth;Ualonuth;Ualonuth;Ualonuth;Ualonuth;Óàëîíóò;Ualonuth;x
ujvilag;Újvilág;Ouivilague;Újvilág;Újvilág;Újvilág;Uivilag;Újvilág;Újvilág;Újvilág;Újvilág;Újvilág;Óéâèëàã;Újvilág;x
ultramar;Ultramar;Ultramar;Ultramar;Ultramar;Ultramar;Ultramar;Ultramar;Ultramar;Ultramar;Ultramar;Ultramar;Ultramar;Ultramar;x
undead;Undead;Morte-Vivante;Untot;Nieumar³a;No-Muerta;Undead;Élõhalott;Nemrtvi;Élõhalott;undead;Morta-Viva;Íåæèâàÿ;Undead;x
usmailmian;Usmailmian;Ousmaïlmienne;Usmailmerisch;Usmailmiañska;Usmailmiana;Usmailmio;Usmailmian;Usmailmian;Usmailmian;Usmailmian;Usmailmiana;Óñìàéëìèéñêàÿ;Usmailmian;x
vandal;Vandal;Vandale;Vandalisch;Wandalska;Vándala;Vandalo;vandál;Vandal;vandál;Vandaal;Vândala;Âàíäàëüñêàÿ;Vandaali;x
varangian;Varangian;Varègue;Warägerisch;Waregska;Varangiana;Varangiana;Varangian;Varangian;Varangian;Varangian;Varangiana;Âàğÿãñêàÿ;Varangian;x
varangian_african;Blålander;Blôlandeuse;Blauländisch;Blolanderska;Blolandesa;Blålander;Blalander;Blalander;Blalander;Blålander;Blolandesa;Áëîëÿíäñêàÿ;Blålander;x
varangian_american;Amalahaimer;Amalahaïmeuse;Amalaheimisch;Amalahajmerska;Amalahaymesa;Amalahaimer;Amalahaimer;Amalahaimer;Amalahaimer;Amalahaimer;Amalacáima;Àìàëàãåéìåğñêàÿ;Amalahaimer;x
varangian_australian;Samder;Samdeuse;Sämderisch;Samderska;Samdesa;Samder;Samder;Samder;Samder;Samder;Samdesa;Ñàìäåğñêàÿ;Samder;x
varangian_g;Varangian;Varègue;Warägerisch;Waregska;Varangiana;Varangiana;Varangian;Varangian;Varangian;Varangian;Varangiana;Âàğÿãñêàÿ;Varangian;x
venetic;Venetic;Vénète;Venetisch;Wenetyjska;Venética;Venetica;Velencei;Veneticki;Velencei;Venetic;Venética;Äğåâíåâåíåòñêàÿ;Venetsia;x
vespuccian;Vespuccian;Vespuccienne;Vespuccianisch;Vespucciañska;Vespuciana;Vespucciana;Vespuccian;Vespuccian;Vespuccian;Vespuccian;Vespuciana;Âåñïó÷÷èéñêàÿ;Vespuccian;x
vinlander;Vinlander;Vinlandoise;Vinländisch;Winlandska;Vinlandesa;Vinlandese;Vinlander;Vinlander;Vinlander;Vinlander;Vinlândesa;Âèíëàíäñêàÿ;Vinlander;x
virshjuros;Viršjûros;Virchyûroise;Virschjuros;Wirszjuros;Virchyuros;Viršjûros;Viršjûros;Viršjûros;Viršjûros;Viršjûros;Virxiûrosa;Âèğùóğîñ;Viršjûros;x
visigothic;Visigothic;Wisigothe;Westgotisch;Wisigotycka;Visigoda;Visigoto;Vizigót;Visigothic;Vizigót;Visigothic;Visigótica;Âåñòãîòèêñêàÿ;Visigothic;x
wandernorse;Wander-Norse;Norroise Errante;Wandersnordisch;Tu³aczka Norweska;Nórdica Errante;Errannorrena;Vándor-norvég;Putování - norština;Vándor-norvég;Wandering-Noors;Nórdica Vagante;Ñòğàíñòâóşùàÿ Ñêàíäèíàâñêàÿ;Vaeltava-norjalainen;x
welsh;Welsh;Galloise;Walisisch;Walijska;Galesa;Gallese;Walesi;Velština;Walesi;Wels;Galesa;Âàëëèéñêàÿ;Walesin;x
wenedyk;Venedic;Vénédaise;Wenedisch;Wenedykska;Venédica;Venetico;Wenedyk;Wenedyk;Wenedyk;Wenedisch;Venédica;Âåíåäûéñêèé;Venedialainen;x
western_slavic;Chervenian;Tchervénoise;Tscherwenisch;Czerwieñska;Cherveniana;Cervenio;Chervenian;Chervenian;Chervenian;Chervenian;Cherveniana;×åğâåíñêàÿ;Chervenian;x
xiyeren;Xiyeren;Xiyeren;Xiyeren;Xiyeren;Xiyeren;Xiyeren;Xiyeren;Xiyeren;Xiyeren;Xiyeren;Xiyeren;Ñèåæıíü-Êèòàéñêàÿ;Xiyeren;x
xliponian;Xliponian;Chliponienne;Schliponisch;Szliponiañska;Esliponia;Sliponiano;Slipón;Šliponská;Slipón;Xliponisch;Chliponiana;Øëèïîíñêàÿ;Ksliponialainen;x
y_wladfan;Y-Wladfan;Euvladvoise;Öwladwarisch;Ywladfañska;Guladvesa;Ivlaffana;Y-Wladfan;Y-Wladfan;Y-Wladfan;Y-Wladfan;Euladefã;Ûâëàäôàñêàÿ;Y-Wladfan;x
yankuisemanatekatl;Yankuisemanatekatl;Yankuisemanatekatl;Yankuisemanatekatl;Yankuisemanatekatl;Yankuisemanatekatl;Yankuisemanatekatl;Yankuisemanatekatl;Yankuisemanatekatl;Yankuisemanatekatl;Yankuisemanatekatl;Yankuisemanatekatl;Yankuisemanatekatl;Yankuisemanatekatl;x
ychibarku;Ychibarku;Ychibarku;Ychibarku;Ychibarku;Ychibarku;Ychibarku;Ychibarku;Ychibarku;Ychibarku;Ychibarku;Ychibarku;Èêèáàğêó;Ychibarku;x
yenidun;Yenidün;Yenidün;Jenidün;Yenidün;Yenidün;Yenidün;Yenidün;Yenidün;Yenidün;Yenidün;Yenidün;Åíèäşí;Yenidün;x
yevanic;Yevanic;Yévanique;Jewanisch;Jewanikska;Yevánica;Ievanico;Yevanic;Yevanic;Yevanic;Yevanic;Ievânica;Éåâàíèêñêàÿ;Yevanic;x
ynnocho;Ynnocho;Ynnocho;Ynnocho;Ynnocho;Ynnocho;Ynnocho;Ynnocho;Ynnocho;Ynnocho;Ynnocho;Ynnocho;Èííîêî;Ynnocho;x
ysthyalm;Ysthyalm;Ysthyalm;Ysthyalm;Ysthyalm;Ysthyalm;Ysthyalm;Ysthyalm;Ysthyalm;Ysthyalm;Ysthyalm;Ysthyalm;Èñòèÿëì;Ysthyalm;x
ythalonim;Ythalonim;Ythalonim;Ythalonim;Ythalonim;Ythalonim;Ythalonim;Ythalonim;Ythalonim;Ythalonim;Ythalonim;Ythalonim;Èòàëîíèì;Ythalonim;x
ythbynuthi;Ythbynuthi;Ythbynuthi;Ythbynuthi;Ythbynuthi;Ythbynuthi;Ythbynuthi;Ythbynuthi;Ythbynuthi;Ythbynuthi;Ythbynuthi;Ythbynuthi;Èòáèíóòè;Ythbynuthi;x
yuzhny;Yuny;Youjnienne;Juschni;Jurznyjska;Yuyní;Yuny;Yuny;Yuny;Yuny;Yuny;Iûgení;Şæíàÿ;Yuny;x
zarphatic;Zarphatic;Zarphatique;Zarphatisch;Zarfatitska;Zarfática;Zarfatico;Zarphatic;Zarfatic;Zarphatic;Zarphatic;Zarfática;Öàğôàòñêàÿ;Zarphatic;x
zuidelijk;Zuidelijk;Jaoudélique;Südlich;¯audelykska;Chaudeleca;Zuidelijk;Zuidelijk;Zuidelijk;Zuidelijk;Zuidelijk;Jaudeluca;Æàâäåëåéêñêàÿ;Zuidelijk;x
